title,console,genre,publisher,vg_score,critic_score,user_score,total_shipped,aisan_sales,north_american_sales,japan_sales,european_sales,global_sales,release_year
Melissa K. and the Heart of Gold Collectors Edition,PC,Adventure,SDP Games,9,10,2,0.18,0.95,4.45,1.13,6.66,13.19,1971
Umineko no Naku Koro ni Chiru,PC,Adventure,07th Expansion,7,10,7,133,0.09,2.16,2.34,2.27,6.86,2009
Umineko no Naku Koro ni,PC,Adventure,07th Expansion,1,9,1,80,0.57,4.07,3.12,3.6,11.36,2007
Boulder Dash  Rocks ,DS,Puzzle,10TACLE Studios,5,3,1,71,0.03,4.41,5.09,0.03,9.56,2007
GTR  FIA GT Racing Game,PC,Racing,10TACLE Studios,10,1,10,88,0.01,3.1,1.95,6.43,11.49,2005
GTR 2  FIA GT Racing Game,PC,Racing,10TACLE Studios,1,10,6,84,0.86,3.99,1.93,1.42,8.2,2006
Shadows on the Vatican Act I  Greed,PC,Adventure,10th Art Studio,1,6,6,0.15,0.88,3.09,4.3,1.98,10.25,1971
Sparkle 2,iOS,Puzzle,10tons Ltd,10,6,10,287,0.6,2.97,1.88,3.16,8.61,2013
Sparkle 2,PC,Puzzle,10tons Ltd,1,1,7,60,0.68,4.34,3.64,6.43,15.09,2013
Sparkle 2,PS3,Puzzle,10tons Ltd,4,6,1,264,0.37,4.51,1.51,6.53,12.92,2014
Sparkle 2,PS4,Puzzle,10tons Ltd,5,10,7,151,0.58,4.59,1.02,6.23,12.42,2014
Beat Cop,PC,Adventure,11 bit studios,7,3,10,0.13,2.93,2.22,3.37,5.39,13.91,2017
Oni Uta. Oni ga Kitari de  Maesasero to Notamouta,PC,Adventure,13cm,5,10,7,233,2.94,4.14,5.41,3.04,15.53,2009
Oni Mari.,PC,Adventure,13cm,10,6,3,135,2.93,2.02,1.58,5.66,12.19,2010
Lemon  Kageetei no Nostalgia,PC,Adventure,13cm,6,1,4,160,5.9,4.6,4.01,1.36,15.87,2000
Devilâ€™s Hunt,PC,Board Game,1C Company,5,10,1,74,7.51,3.28,3.86,1.57,16.22,2019
Devilâ€™s Hunt,PS4,Board Game,1C Company,2,5,1,74,1.06,2.92,2.89,1.74,8.61,2020
Streets of Moscow,PC,Racing,1C Company,4,5,1,95,5.6,4.65,1.43,2.24,13.92,2010
Off Road Drive,PC,Racing,1C Company,3,1,2,36,0.04,1.3,5.15,0.04,6.53,2011
GM Rally,PC,Racing,1C Company,1,4,3,20,2.2,2.02,1.17,5.7,11.09,2009
Classic Car Racing,PC,Racing,1C Company,6,6,7,224,7.88,1.34,5.67,1.9,16.79,2010
A.I.M. Racing,PC,Racing,1C Company,9,10,4,119,1.04,2.77,1.12,2.56,7.49,2007
Off Road Drive,PS3,Racing,1C Company,6,10,7,144,5.03,1.59,2.33,4.07,13.02,1971
NecroVisioN  Lost Company,PC,Shooter,1C Company,3,6,1,204,2.74,2.79,3.32,2.11,10.96,2010
Necrovision,PC,Shooter,1C Company,2,7,5,22,1.19,3.69,1.7,0.01,6.59,2009
Space Rangers,PC,Simulation,1C Company,6,9,3,248,7.47,1.4,3.68,4.72,17.27,2002
Grayland,iOS,Board Game,1Der Entertainment,2,8,9,40,2.23,1.43,3.07,2.94,9.67,1971
Grayland,PC,Board Game,1DER Entertainment,9,4,1,217,2.88,4.86,5.05,2.94,15.73,2020
The Marvelous Misadventures of Flapjack  The Video Game,DS,Adventure,1st Playable Productions,3,9,8,201,7.87,3.8,2.02,5.9,19.59,1971
Mafia  Trilogy,PC,Board Game,2K Games,9,10,9,145,5.61,4.34,3.35,5.55,18.85,2020
Mafia III,PC,Board Game,2K Games,6,6.5,1,0.86,2.77,4.38,5.16,5.88,18.19,2016
Mafia  Trilogy,PS4,Board Game,2K Games,1,6,8,19,3.66,2.52,3.41,5.07,14.66,2020
Mafia III,PS4,Board Game,2K Games,7,6.9,4,80,2.87,0.72,0.04,1.67,5.3,2016
Call of Cthulhu  Dark Corners of the Earth,PC,Adventure,2K Games,2,2,4,202,1.56,1.93,2.82,3.36,9.67,2006
Zathura,PS2,Adventure,2K Games,7,10,2,273,0.12,0.06,4.14,0.05,4.37,2005
Family Guy,PS2,Adventure,2K Games,1,7,1,172,4.03,2.22,2.46,5.89,14.6,2006
24  The Game,PS2,Adventure,2K Games,3,1,10,192,0.3,0.15,4.32,0.12,4.89,2006
WWE 2K20,PC,Fighting,2K Games,4,3,8,24,7.86,4.28,5.03,6.76,23.93,2019
WWE 2k17,PC,Fighting,2K Games,5,1,2,300,5.67,2.28,2.76,2.06,12.77,2017
WWE 2K20,PS4,Fighting,2K Games,9,3,4,205,2.84,2.17,3.14,3.38,11.53,2019
The Misadventures of P.B. Winterbottom,PC,Puzzle,2K Games,6,8.1,10,0.13,6.6,4.39,4.37,1.05,16.41,2010
Ford Racing 3,PC,Racing,2K Games,7,2,9,110,7.47,4.45,5.54,6.54,24,2005
Motocross Mania 3,PS2,Racing,2K Games,7,10,10,248,0.1,0.05,2.54,0.04,2.73,2005
Ford Racing 3,PS2,Racing,2K Games,3,8,8,93,0.26,0.13,4.53,0.1,5.02,2005
Ford Mustang  The Legend Lives,PS2,Racing,2K Games,9,10,1,165,0.29,0.14,1.72,0.11,2.26,2005
Vietcong 2,PC,Shooter,2K Games,5,5,8,146,1.06,4.49,5.31,5.79,16.65,2005
The Darkness II,PC,Shooter,2K Games,7,7,3,266,0.14,0.1,2.95,0.03,3.22,2012
The Bureau  XCOM Declassified,PC,Shooter,2K Games,2,5,3,274,0.05,4.03,5.82,0.05,9.95,2013
Spec Ops  The Line,PC,Shooter,2K Games,9,3,6,161,0.23,0.12,1.84,0.09,2.28,2012
Serious Sam II,PC,Shooter,2K Games,2,5,1,61,0.01,2.2,2.11,0.01,4.33,2005
Prey,PC,Shooter,2K Games,10,8.5,9,78,0.04,2.45,5.19,0.04,7.72,2006
Duke Nukem Forever,PC,Shooter,2K Games,4,4.6,9,0.89,3.96,1.81,1.93,4.36,12.06,2011
Conflict  Global Terror,PC,Shooter,2K Games,3,10,10,161,5.37,2.75,2.94,6.81,17.87,2005
Close Combat  First to Fight,PC,Shooter,2K Games,5,1,5,1,6.99,2.89,3.79,2.05,15.72,2005
Borderlands  The Zombie Island of Dr. Ned,PC,Shooter,2K Games,8,8,5,203,6.13,4.09,4.91,6.66,21.79,2009
Borderlands  The Secret Armory of General Knoxx,PC,Shooter,2K Games,2,8.6,2,66,4.86,1.39,2.39,2.18,10.82,2010
Borderlands  Mad Moxxis Underdome Riot,PC,Shooter,2K Games,10,3,5,79,4.65,1.41,5.86,4.3,16.22,2010
Borderlands  Game of the Year Edition,PC,Shooter,2K Games,6,1,4,279,0.03,3.13,1.26,0.02,4.44,2010
Borderlands  Double Game Add On Pack,PC,Shooter,2K Games,4,2,3,187,3.74,3.7,4.69,1.33,13.46,2010
Borderlands  Claptraps New Robot Revolution,PC,Shooter,2K Games,4,9,1,155,5.39,4.46,5.86,2.51,18.22,2010
Borderlands 3,PC,Shooter,2K Games,9,3,9,194,3.55,3.89,5.25,5.25,17.94,2019
Borderlands 2,PC,Shooter,2K Games,3,1,2,65,0.94,0.43,4.05,0.42,5.84,2012
Borderlands,PC,Shooter,2K Games,1,8.3,3,60,0.17,0.01,1.22,0.14,1.54,2009
BioShock  The Collection,PC,Shooter,2K Games,10,3,10,239,2.13,2.98,4.17,1.12,10.4,2016
BioShock  Ryan Industries Plasmids and Gene Tonics,PC,Shooter,2K Games,2,7,4,246,4.03,1.43,3.79,5.99,15.24,2007
BioShock The Collection,PC,Shooter,2K Games,8,10,4,5,7.03,4.67,2.75,3.07,17.52,2016
BioShock Infinite,PC,Shooter,2K Games,6,1,2,4.56,7.96,2.79,4.16,4.33,19.24,2013
BioShock 2  Rapture Metro Map Pack,PC,Shooter,2K Games,1,10,8,277,3.92,4.5,4.94,2.03,15.39,2010
BioShock 2  Protector Trials,PC,Shooter,2K Games,6,9,1,289,6.1,1.66,3.63,1.69,13.08,2011
BioShock 2  Minervas Den,PC,Shooter,2K Games,1,7,7,153,1.82,3.84,5.68,3.66,15,2011
BioShock 2,PC,Shooter,2K Games,3,8.5,3,1.56,1.84,2.84,1.03,2.52,8.23,2010
BioShock,PC,Shooter,2K Games,1,9.6,6,1.29,5.88,1.23,5.37,2.04,14.52,2007
Battleborn,PC,Shooter,2K Games,1,2,8,37,0.2,0.12,1.23,0.06,1.61,2016
Conflict  Global Terror,PS2,Shooter,2K Games,4,9,10,162,0.19,0.09,3.75,0.07,4.1,2005
The Darkness II,PS3,Shooter,2K Games,10,4,5,16,0.32,0.14,5.07,0.14,5.67,2012
The Darkness,PS3,Shooter,2K Games,9,6,9,246,0.66,0.2,1.64,0.34,2.84,2007
